Feature Name,Theme,Sub Theme,latitude,longitude,distance_km,category_score,distance_score,ranking_score,ranking_reason,source_dataset,ranking_context
Melbourne Exhibition Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8252455123297,144.95435243249,1.5057273926854335,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.5 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Margaret Court Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.8213252086842,144.977591098955,1.5356348056860245,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.5 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Convention Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8249040484653,144.952288281644,1.5753820636441176,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.6 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.8209085970021,144.978735802793,1.595881898082708,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.6 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Rod Laver Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.8220456119807,144.978487173787,1.6458356320533556,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.6 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Dallas Brooks Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8097374138234,144.981383411592,1.6625839815388328,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.7 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Central Pier,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8165177307702,144.943475014215,1.7541871195524226,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.8 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
New Quay Marina,Transport,Marina,-37.8152925454954,144.942283726231,1.8382452434683911,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.8 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Westpac Centre,Leisure/Recreation,Major Sports & Recreation Facility,-37.8242456858593,144.979720306309,1.879516361735348,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.9 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Cricket Ground (MCG),Leisure/Recreation,Major Sports & Recreation Facility,-37.8194921618419,144.983402879078,1.8999746515381897,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.9 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Hisense Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.823110002667,144.981834802535,1.9561201707852236,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.0 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Shrine of Remembrance,Community Use,Public Buildings,-37.8302080020387,144.973441913623,2.058046716911746,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.1 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
AAMI Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.8247252673963,144.98380297866,2.1993987575511094,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.2 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Star Observation Wheel,Leisure/Recreation,Observation Tower/Wheel,-37.8116163666726,144.937588920436,2.251880502325067,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.3 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
North Melbourne Recreation Centre (Aquatic),Leisure/Recreation,Major Sports & Recreation Facility,-37.7999470049655,144.943290801869,2.309417159327484,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.3 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Wonderland Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.8116945351989,144.936833674975,2.317103873657318,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.3 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Carlton Baths,Leisure/Recreation,Indoor Recreation Facility,-37.7934377042609,144.971696548624,2.365744302156243,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.4 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Icehouse,Leisure/Recreation,Indoor Recreation Facility,-37.8121881194053,144.935684018873,2.4134927510043127,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.4 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
North Melbourne Recreation Centre (Gymnasium),Leisure/Recreation,Gymnasium/Health Club,-37.7997051197931,144.940368286395,2.524952146991099,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 2.5 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Carlton Football Club,Leisure/Recreation,Major Sports & Recreation Facility,-37.7840864379557,144.961967841559,3.2832656197547383,0,1,1,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 3.3 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Visy Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.7834303940347,144.961982577553,3.356143501665932,0,1,1,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 3.4 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
State Netball Hockey Centre,Leisure/Recreation,Major Sports & Recreation Facility,-37.7857860016289,144.947580972027,3.380009592188918,0,1,1,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 3.4 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Zoo,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7844449253712,144.951371205938,3.4017441637996684,0,1,1,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 3.4 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Royal Park Golf Course,Leisure/Recreation,Private Sports Club/Facility,-37.7819171308558,144.956309119368,3.573145238927438,0,1,1,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 3.6 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Riverside Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7948375315825,144.915607065132,4.665059270899692,0,1,1,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 4.7 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne International Shooting Club,Leisure/Recreation,Private Sports Club/Facility,-37.8292844929826,144.913415802464,4.699634914139067,0,1,1,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 4.7 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Flemington Racecourse,Leisure/Recreation,Major Sports & Recreation Facility,-37.7908082646624,144.912142987372,5.144554534182836,0,0,0,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 5.1 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Showgrounds,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7823097850883,144.910822117306,5.76231405948173,0,0,0,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 5.8 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
